termo,tipo,substituto,escopo,nota
Instituto de Pesquisa e Planejamento Urbano de Maringá,nominal,[instituto de planejamento],sempre,IPPLAM
IPPLAM,acronimo,[instituto de planejamento],sempre,IPPLAM
IPLAN,asr,[instituto de planejamento],sempre,IPPLAM
IPLAM,asr,[instituto de planejamento],sempre,IPPLAM
IPLÃ,asr,[instituto de planejamento],sempre,IPPLAM
IPAN,asr,[instituto de planejamento],sempre,IPPLAM
IPLU,asr,[instituto de planejamento],sempre,IPPLAM
EPLU,asr,[instituto de planejamento],sempre,IPPLAM
IPL,asr,[instituto de planejamento],sempre,IPPLAM
Instituto Ambiental de Maringá,nominal,[órgão ambiental municipal],sempre,IAM
IAM,acronimo,[órgão ambiental municipal],sempre,IAM
IAN,asr,[órgão ambiental municipal],sempre,IAM
Secretaria Municipal de Obras Públicas,nominal,[secretaria de obras],proprio,SEMOP
Secretaria de Obras Públicas,nominal,[secretaria de obras],proprio,SEMOP
SEMOP,acronimo,[secretaria de obras],proprio,SEMOP
CMOP,asr,[secretaria de obras],proprio,SEMOP
Secretaria Municipal de Infraestrutura,nominal,[secretaria de infraestrutura],proprio,SEINFRA
Secretaria de Infraestrutura,nominal,[secretaria de infraestrutura],proprio,SEINFRA
SEINFRA,acronimo,[secretaria de infraestrutura],proprio,SEINFRA
Secretaria de Urbanismo e Habitação,nominal,[secretaria de urbanismo],proprio,SEURBH
SEURBH,acronimo,[secretaria de urbanismo],proprio,SEURBH
SEURB,asr,[secretaria de urbanismo],proprio,SEURBH
CURB,asr,[secretaria de urbanismo],proprio,SEURBH
Secretaria Municipal de Governo,nominal,[secretaria municipal de governo],proprio,SEGOV
Secretaria de Governo,nominal,[secretaria municipal de governo],proprio,SEGOV
SEGOV,acronimo,[secretaria municipal de governo],proprio,SEGOV
Cegóvia,asr,[secretaria municipal de governo],proprio,SEGOV
Secretaria Municipal de Fazenda,nominal,[secretaria municipal de fazenda],proprio,SEFAZ
SEFAZ,acronimo,[secretaria municipal de fazenda],proprio,SEFAZ
SEPRA,asr,[secretaria municipal de fazenda],proprio,SEFAZ
SEFRA,asr,[secretaria municipal de fazenda],proprio,SEFAZ
Secretaria Municipal de Educação,nominal,[secretaria de educação],proprio,SEDUC
SEDUC,acronimo,[secretaria de educação],proprio,SEDUC
Secretaria de Limpeza Urbana,nominal,[secretaria de limpeza urbana],proprio,SELURB
SELURB,acronimo,[secretaria de limpeza urbana],proprio,SELURB
Secretaria de Comunicação,nominal,[secretaria de comunicação],proprio,SECOM
SECOM,acronimo,[secretaria de comunicação],proprio,SECOM
Coordenadoria Municipal de Proteção e Defesa Civil,nominal,[órgão de proteção e defesa civil],proprio,Defesa Civil
Defesa Civil,nominal,[órgão de proteção e defesa civil],proprio,Defesa Civil
COMPEDEC,asr,[órgão de proteção e defesa civil],proprio,Defesa Civil
Câmara de Vereadores,nominal,[Poder Legislativo municipal],proprio,Câmara
Câmara Municipal,nominal,[Poder Legislativo municipal],proprio,Câmara
Universidade Estadual de Maringá,nominal,[universidade pública],proprio,UEM
UEM,acronimo,[universidade pública],proprio,UEM
UniCesumar,nominal,[universidade privada],proprio,UniCesumar
Cesumar,nominal,[universidade privada],proprio,UniCesumar
Universidade Livre do Meio Ambiente,nominal,[organização técnica ambiental],proprio,UNILIVRE
UNILIVRE,acronimo,[organização técnica ambiental],proprio,UNILIVRE
Unilivre,nominal,[organização técnica ambiental],proprio,UNILIVRE
Banco Regional de Desenvolvimento do Extremo Sul,nominal,[banco público de desenvolvimento regional],proprio,BRDE
BRDE,acronimo,[banco público de desenvolvimento regional],proprio,BRDE
BRD,asr,[banco público de desenvolvimento regional],proprio,BRDE
Conselho de Desenvolvimento Econômico de Maringá,nominal,[conselho de desenvolvimento econômico],proprio,CODEM
CODEM,acronimo,[conselho de desenvolvimento econômico],proprio,CODEM
CODEN,asr,[conselho de desenvolvimento econômico],proprio,CODEM
