termo,motivo
Maringá,topônimo
Paraná,topônimo
Curitiba,topônimo
Sarandi,topônimo
Paiçandu,topônimo
Brasil,topônimo
São Paulo,topônimo
Londrina,topônimo
Pirapó,topônimo — rio
Ingá,topônimo — rio
Janeiro,mês
Fevereiro,mês
Março,mês
Abril,mês
Maio,mês
Junho,mês
Julho,mês
Agosto,mês
Setembro,mês
Outubro,mês
Novembro,mês
Dezembro,mês
Segunda,dia da semana
Terça,dia da semana
Quarta,dia da semana
Quinta,dia da semana
Sexta,dia da semana
Sábado,dia da semana
Domingo,dia da semana
Plano,termo de política pública
Diretor,termo de política pública — Plano Diretor
Lei,termo normativo
Decreto,termo normativo
Orgânica,termo normativo — Lei Orgânica
Constituição,termo normativo
Estatuto,termo normativo — Estatuto da Cidade
Cidade,termo normativo — Estatuto da Cidade
Código,termo normativo
Municipal,termo institucional genérico
Estadual,termo institucional genérico
Federal,termo institucional genérico
Prefeitura,termo institucional genérico
Município,termo institucional genérico
Estado,termo institucional genérico
União,termo institucional genérico
Governo,termo institucional genérico
Câmara,termo institucional genérico
Conselho,termo institucional genérico
Secretaria,termo institucional genérico
Instituto,termo institucional genérico
Universidade,termo institucional genérico
Ministério,termo institucional genérico
PPA,instrumento orçamentário
LDO,instrumento orçamentário
LOA,instrumento orçamentário
LRF,instrumento normativo
PIB,indicador
GEE,termo técnico — gases de efeito estufa
PPP,termo técnico — parceria público-privada
ICMS,tributo
IPTU,tributo
ISS,tributo
ITBI,tributo
CNPJ,termo genérico
CPF,termo genérico
CEP,termo genérico
BNDES,§3 — terceiro de caráter público
FINEP,§3 — terceiro de caráter público
BID,§3 — terceiro de caráter público
FONPLATA,§3 — terceiro de caráter público
CAF,§3 — terceiro de caráter público
IAT,§3 — órgão ambiental estadual
COMDEMA,§3 — conselho municipal
CONDEMA,§3 — conselho municipal
AMUSEP,§3 — associação de municípios
CREA,§3 — conselho profissional
ACIM,§3 — associação comercial
IBGE,§3 — órgão federal de estatística
CEPAL,§3 — contratante do projeto
ONU,§3 — organismo multilateral
CCFLA,§3 — metodologia pública
SAMU,serviço público de referência
COP,conferência do clima
NDC,termo técnico climático
BNDS,ASR de BNDES — §3
MUSEP,ASR de AMUSEP — §3
CFRA,ASR de CREA — §3
PTU,ASR de IPTU
OAB,§3 — conselho profissional
Observatório,§3 — Observatório Social
Social,§3 — Observatório Social
Brisa,"§3 — consultoria executora, nomeada na capa"
ODS,termo técnico — Objetivos de Desenvolvimento Sustentável
Docusign,ferramenta
Meet,ferramenta
Drive,ferramenta
Teams,ferramenta
ICI,§3 — Instituto Cultural Ingá
IPT,ASR de IPPLAM — §3
SEMOP,"§3 — secretaria municipal, competência legal pública"
SELURB,§3 — secretaria municipal
Celurb,ASR de SELURB — §3
CMOP,ASR de SEMOP — §3
SEURB,§3 — secretaria municipal
CURB,ASR de SEURBH — §3
CODEM,§3 — conselho de desenvolvimento econômico
CODEN,ASR de CODEM — §3
CODENM,ASR de CODEM — §3
Codém,ASR de CODEM — §3
UNILIVRE,§3 — contrato publicado
Unilivre,§3 — contrato publicado
Unilivro,ASR de UNILIVRE — §3
IAB,§3 — entidade profissional
CAU,§3 — conselho profissional
CPAL,ASR de CEPAL — §3
IPCC,§3 — painel intergovernamental
