question_id,dimension_code,relation
PUB1,1.1.1,D
PUB1,1.1.2,D
PUB1,1.1.8,I
PUB1,1.2.1,D
PUB2,1.1.5,D
PUB3,3.2.3,D
PUB3,3.2.4,D
PUB4,1.1.3,D
PUB4,1.1.7,D
PUB4,3.2.2,D
PUB4,3.2.3,D
PUB4,3.2.4,D
PUB5,2.2.1,D
PUB5,2.2.2,D
PUB5,2.2.3,D
PUB5,2.3.1,D
PUB5,2.3.2,D
PUB5,2.3.4,I
PUB5,3.2.5,D
PUB6,2.1.4,D
PUB6,2.1.6,D
PUB6,2.1.7,D
PUB6,2.4.2,I
PUB6,2.5.1,I
PUB6,2.5.2,D
PUB6,2.5.3,I
PUB6,2.6.1,D
PUB6,2.6.2,D
PUB6,2.6.3,I
PUB6,2.6.4,I
PUB6,3.1.1,D
PUB6,3.1.2,I
PUB6,4.1.5,D
PUB7,2.1.1,D
PUB7,2.1.2,D
PUB7,2.1.3,D
PUB7,2.3.1,D
PUB7,2.3.2,D
PUB7,2.3.4,I
PUB7,2.4.1,I
PUB7,2.4.2,D
PUB7,2.5.1,I
PUB7,2.5.2,D
PUB7,2.5.3,I
PUB7,2.5.4,I
PUB7,2.5.5,I
PUB7,2.6.2,I
PUB8,1.2.1,D
PUB8,1.2.2,D
PUB8,3.2.1,D
PUB8,4.1.3,D
PUB8,4.2.3,I
PUB8,4.2.4,I
PUB8,4.3.2,I
PUB8,4.3.3,I
PUB9,1.1.6,D
PUB9,4.1.1,D
PUB9,4.1.2,D
PUB9,4.1.4,D
PUB9,4.2.1,I
PUB9,4.2.2,I
PUB9,4.3.1,I
PUB10,2.1.5,D
PUB10,2.1.6,D
PUB10,2.1.7,D
PUB10,2.4.1,I
PUB10,2.4.2,I
PUB10,2.5.1,I
PUB10,2.5.3,I
PRI1,1.1.1,D
PRI1,1.1.2,D
PRI1,1.1.8,I
PRI1,1.2.1,D
PRI2,1.1.5,D
PRI4,3.2.3,D
PRI4,3.2.4,D
PRI6,2.4.1,D
PRI7,2.4.1,D
PRI8,1.1.6,D
PRI8,4.1.1,D
PRI8,4.1.2,D
PRI8,4.1.4,D
PRI8,4.2.1,I
PRI8,4.2.2,I
PRI8,4.3.1,I
ACA1,1.1.1,D
ACA1,1.1.2,D
ACA1,1.1.8,I
ACA1,1.2.1,D
ACA2,1.1.5,D
ACA4,3.2.3,D
ACA4,3.2.4,D
ACA8,1.1.6,D
ACA8,4.1.1,D
ACA8,4.1.2,D
ACA8,4.1.4,D
ACA8,4.2.1,I
ACA8,4.2.2,I
ACA8,4.3.1,I
SOC1,1.1.1,D
SOC1,1.1.2,D
SOC1,1.1.8,I
SOC1,1.2.1,D
SOC3,3.2.3,I
SOC8,1.1.6,D
SOC8,4.1.1,D
SOC8,4.1.2,D
SOC8,4.1.4,D
SOC8,4.2.1,I
SOC8,4.2.2,I
SOC8,4.3.1,I
SOC9,3.2.3,I
