code,publica,termo,criterio,n_passagens,limiar,decidido_em,decidido_por,motivo
ENT-001-ENT-002,False,SEMOP,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,6,3,2026-09-14,Lucas Nakamura Cerejo,participante nomeia o proprio empregador seis vezes em primeira pessoa; orgao de fato publico pela regra 5 nao cobre o caso de dizer que se trabalha nele
ENT-003,False,IAN,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,3,3,2026-09-14,Lucas Nakamura Cerejo,autoidentificacao de empregador no limiar; Maringa tem um unico orgao ambiental municipal e o risco residual ja era declarado
ENT-004,True,Secretaria de Infraestrutura,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,0,3,2026-09-14,Lucas Nakamura Cerejo,
ENT-005,False,IAB,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,3,3,2026-09-14,Lucas Nakamura Cerejo,autoidentificacao de empregador no limiar
ENT-006,True,,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,0,3,2026-09-14,Lucas Nakamura Cerejo,
ENT-007,True,,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,0,3,2026-09-14,Lucas Nakamura Cerejo,"o conselho profissional da sessao nao aparece nominalmente e MUSEP e citado como terceiro; o participante declara filiacao ao IAB uma vez, abaixo do limiar, e a filiacao e tratada caso a caso por supressao"
ENT-008,False,IAN,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,0,3,2026-09-14,Lucas Nakamura Cerejo,"mede zero, retida pela regra 5.6: e uma das tres sessoes em que o cargo reidentifica a pessoa independentemente do nome"
ENT-009,True,,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,0,3,2026-09-14,Lucas Nakamura Cerejo,a OAB e o Parque do Inga aparecem como terceiros e nao como empregador; o Condema ja tem corte declarado
ENT-010-ENT-011,False,Unilivre,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,1,3,2026-09-14,Lucas Nakamura Cerejo,"retida por decisao de 14/09, tomada sobre medicao preliminar que somava 4; a medida por turno, que nao atravessa fala, mede 1. A decisao foi mantida e o numero corrigido"
ENT-012,True,,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,0,3,2026-09-14,Lucas Nakamura Cerejo,
ENT-013,False,Defesa Civil,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,14,3,2026-09-14,Lucas Nakamura Cerejo,a sessao com maior autoidentificacao do corpus; instituicao setor e data de entrada aparecem no texto e supressao pontual nao sobrevive a isso
ENT-014,True,,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,0,3,2026-09-14,Lucas Nakamura Cerejo,
ENT-015,True,,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,0,3,2026-09-14,Lucas Nakamura Cerejo,termo vazio por decisao: Prefeitura e generico e a funcao de lideranca politica do Executivo e publica por definicao; a sessao ja e reidentificavel pelo cargo pela regra 5.6 e ocultar o empregador nao protege
ENT-016,True,CODEM,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,1,3,2026-09-14,Lucas Nakamura Cerejo,
ENT-017-ENT-018,False,BRD,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,5,3,2026-09-14,Lucas Nakamura Cerejo,autoidentificacao de empregador acima do limiar; instituicao cidade e setor aparecem na mesma frase
ENT-019,True,Universidade Estadual de Maringá,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,0,3,2026-09-14,Lucas Nakamura Cerejo,
ENT-020,False,Universidade Estadual de Maringá,mencoes do termo proprio a menos de 60 caracteres de marca de primeira pessoa em fala de participante,1,3,2026-09-14,Lucas Nakamura Cerejo,"mede 1, abaixo do limiar, retida por decisao do projeto na revisao de 14/09"
