interview,dimension_code,hits
ENT-001-ENT-002,1.1.5,1
ENT-001-ENT-002,1.1.7,1
ENT-001-ENT-002,1.2.2,3
ENT-001-ENT-002,2.1.2,36
ENT-001-ENT-002,2.1.7,5
ENT-001-ENT-002,2.3.1,1
ENT-001-ENT-002,2.3.2,1
ENT-001-ENT-002,2.3.4,4
ENT-001-ENT-002,2.4.2,1
ENT-001-ENT-002,2.5.1,6
ENT-001-ENT-002,2.5.2,4
ENT-001-ENT-002,2.5.3,3
ENT-001-ENT-002,2.6.1,6
ENT-001-ENT-002,2.6.2,1
ENT-001-ENT-002,2.6.4,10
ENT-001-ENT-002,3.1.1,9
ENT-001-ENT-002,3.1.2,1
ENT-001-ENT-002,3.2.1,21
ENT-001-ENT-002,3.2.3,5
ENT-001-ENT-002,4.1.1,4
ENT-001-ENT-002,4.1.2,22
ENT-001-ENT-002,4.1.3,32
ENT-001-ENT-002,4.1.4,1
ENT-001-ENT-002,4.2.2,3
ENT-001-ENT-002,4.2.3,11
ENT-001-ENT-002,4.2.4,1
ENT-001-ENT-002,4.3.3,2
ENT-003,1.1.1,1
ENT-003,1.1.4,1
ENT-003,1.1.5,4
ENT-003,1.1.7,2
ENT-003,1.1.8,1
ENT-003,1.2.1,1
ENT-003,1.2.2,4
ENT-003,2.1.1,2
ENT-003,2.1.2,13
ENT-003,2.1.5,1
ENT-003,2.1.6,3
ENT-003,2.1.7,2
ENT-003,2.3.1,2
ENT-003,2.3.3,1
ENT-003,2.6.1,1
ENT-003,2.6.4,8
ENT-003,3.1.1,2
ENT-003,3.1.2,1
ENT-003,3.2.1,14
ENT-003,3.2.3,4
ENT-003,4.1.1,6
ENT-003,4.1.2,2
ENT-003,4.1.3,14
ENT-003,4.2.2,3
ENT-003,4.2.3,8
ENT-003,4.2.4,1
ENT-003,4.3.3,4
ENT-004,1.1.7,2
ENT-004,1.1.8,1
ENT-004,1.2.2,2
ENT-004,2.1.2,7
ENT-004,2.1.7,3
ENT-004,2.3.1,6
ENT-004,2.3.4,4
ENT-004,2.4.1,1
ENT-004,2.5.2,2
ENT-004,2.6.1,1
ENT-004,2.6.4,12
ENT-004,3.1.1,4
ENT-004,3.1.2,2
ENT-004,3.2.1,15
ENT-004,3.2.3,3
ENT-004,4.1.1,5
ENT-004,4.1.2,2
ENT-004,4.1.3,24
ENT-004,4.2.2,5
ENT-004,4.2.3,17
ENT-004,4.3.3,1
ENT-005,1.1.5,3
ENT-005,1.1.8,2
ENT-005,1.2.2,3
ENT-005,2.1.2,8
ENT-005,2.1.7,3
ENT-005,2.3.4,3
ENT-005,2.5.3,1
ENT-005,2.6.4,4
ENT-005,3.1.1,1
